# x	Revenue	Cost	Profit
0.00	0.00	2930.00	-2930.00
0.10	23.80	2930.12	-2906.32
0.20	47.60	2930.24	-2882.64
0.30	71.40	2930.37	-2858.97
0.40	95.20	2930.50	-2835.30
0.50	119.00	2930.64	-2811.64
0.60	142.80	2930.78	-2787.98
0.70	166.60	2930.93	-2764.33
0.80	190.40	2931.09	-2740.69
0.90	214.20	2931.24	-2717.04
1.00	238.00	2931.41	-2693.41
1.10	261.80	2931.57	-2669.77
1.20	285.60	2931.75	-2646.15
1.30	309.40	2931.92	-2622.52
1.40	333.20	2932.11	-2598.91
1.50	357.00	2932.29	-2575.29
1.60	380.80	2932.49	-2551.69
1.70	404.60	2932.68	-2528.08
1.80	428.40	2932.88	-2504.49
1.90	452.20	2933.09	-2480.89
2.00	476.00	2933.30	-2457.31
2.10	499.80	2933.52	-2433.72
2.20	523.59	2933.74	-2410.15
2.30	547.39	2933.97	-2386.57
2.40	571.19	2934.20	-2363.01
2.50	594.99	2934.44	-2339.44
2.60	618.79	2934.68	-2315.89
2.70	642.59	2934.92	-2292.33
2.80	666.39	2935.18	-2268.79
2.90	690.19	2935.43	-2245.24
3.00	713.99	2935.69	-2221.71
3.10	737.79	2935.96	-2198.17
3.20	761.58	2936.23	-2174.65
3.30	785.38	2936.51	-2151.12
3.40	809.18	2936.79	-2127.61
3.50	832.98	2937.07	-2104.09
3.60	856.78	2937.36	-2080.59
3.70	880.57	2937.66	-2057.08
3.80	904.37	2937.96	-2033.59
3.90	928.17	2938.26	-2010.09
4.00	951.97	2938.57	-1986.61
4.10	975.77	2938.89	-1963.12
4.20	999.56	2939.21	-1939.65
4.30	1023.36	2939.53	-1916.17
4.40	1047.16	2939.86	-1892.71
4.50	1070.95	2940.20	-1869.24
4.60	1094.75	2940.54	-1845.79
4.70	1118.55	2940.88	-1822.34
4.80	1142.34	2941.23	-1798.89
4.90	1166.14	2941.59	-1775.45
5.00	1189.94	2941.95	-1752.01
5.10	1213.73	2942.31	-1728.58
5.20	1237.53	2942.68	-1705.15
5.30	1261.33	2943.06	-1681.73
5.40	1285.12	2943.43	-1658.31
5.50	1308.92	2943.82	-1634.90
5.60	1332.71	2944.21	-1611.50
5.70	1356.51	2944.60	-1588.09
5.80	1380.30	2945.00	-1564.70
5.90	1404.10	2945.40	-1541.31
6.00	1427.89	2945.81	-1517.92
6.10	1451.69	2946.23	-1494.54
6.20	1475.48	2946.65	-1471.16
6.30	1499.27	2947.07	-1447.79
6.40	1523.07	2947.50	-1424.43
6.50	1546.86	2947.93	-1401.07
6.60	1570.66	2948.37	-1377.71
6.70	1594.45	2948.81	-1354.36
6.80	1618.24	2949.26	-1331.02
6.90	1642.04	2949.71	-1307.68
7.00	1665.83	2950.17	-1284.34
7.10	1689.62	2950.63	-1261.01
7.20	1713.41	2951.10	-1237.69
7.30	1737.21	2951.57	-1214.37
7.40	1761.00	2952.05	-1191.05
7.50	1784.79	2952.53	-1167.75
7.60	1808.58	2953.02	-1144.44
7.70	1832.37	2953.51	-1121.14
7.80	1856.16	2954.01	-1097.85
7.90	1879.95	2954.51	-1074.56
8.00	1903.74	2955.02	-1051.28
8.10	1927.53	2955.53	-1028.00
8.20	1951.32	2956.05	-1004.73
8.30	1975.11	2956.57	-981.46
8.40	1998.90	2957.10	-958.20
8.50	2022.69	2957.63	-934.94
8.60	2046.48	2958.17	-911.69
8.70	2070.27	2958.71	-888.44
8.80	2094.06	2959.26	-865.20
8.90	2117.85	2959.81	-841.96
9.00	2141.64	2960.36	-818.73
9.10	2165.42	2960.93	-795.50
9.20	2189.21	2961.49	-772.28
9.30	2213.00	2962.06	-749.07
9.40	2236.78	2962.64	-725.85
9.50	2260.57	2963.22	-702.65
9.60	2284.36	2963.81	-679.45
9.70	2308.14	2964.40	-656.25
9.80	2331.93	2964.99	-633.06
9.90	2355.71	2965.59	-609.88
10.00	2379.50	2966.20	-586.70
10.10	2403.28	2966.81	-563.53
10.20	2427.07	2967.43	-540.36
10.30	2450.85	2968.05	-517.19
10.40	2474.64	2968.67	-494.03
10.50	2498.42	2969.30	-470.88
10.60	2522.20	2969.94	-447.73
10.70	2545.99	2970.58	-424.59
10.80	2569.77	2971.22	-401.45
10.90	2593.55	2971.87	-378.32
11.00	2617.33	2972.53	-355.19
11.10	2641.12	2973.19	-332.07
11.20	2664.90	2973.85	-308.96
11.30	2688.68	2974.52	-285.84
11.40	2712.46	2975.20	-262.74
11.50	2736.24	2975.88	-239.64
11.60	2760.02	2976.56	-216.54
11.70	2783.80	2977.25	-193.45
11.80	2807.58	2977.95	-170.37
11.90	2831.36	2978.65	-147.29
12.00	2855.14	2979.35	-124.21
12.10	2878.91	2980.06	-101.14
12.20	2902.69	2980.77	-78.08
12.30	2926.47	2981.49	-55.02
12.40	2950.25	2982.22	-31.97
12.50	2974.02	2982.95	-8.92
12.60	2997.80	2983.68	14.12
12.70	3021.58	2984.42	37.16
12.80	3045.35	2985.16	60.19
12.90	3069.13	2985.91	83.22
13.00	3092.90	2986.66	106.24
13.10	3116.68	2987.42	129.25
13.20	3140.45	2988.19	152.26
13.30	3164.22	2988.95	175.27
13.40	3188.00	2989.73	198.27
13.50	3211.77	2990.51	221.26
13.60	3235.54	2991.29	244.25
13.70	3259.31	2992.08	267.24
13.80	3283.09	2992.87	290.22
13.90	3306.86	2993.67	313.19
14.00	3330.63	2994.47	336.16
14.10	3354.40	2995.28	359.12
14.20	3378.17	2996.09	382.08
14.30	3401.94	2996.91	405.03
14.40	3425.71	2997.73	427.97
14.50	3449.48	2998.56	450.92
14.60	3473.24	2999.39	473.85
14.70	3497.01	3000.23	496.78
14.80	3520.78	3001.07	519.71
14.90	3544.55	3001.92	542.63
15.00	3568.31	3002.77	565.54
15.10	3592.08	3003.63	588.45
15.20	3615.84	3004.49	611.35
15.30	3639.61	3005.36	634.25
15.40	3663.37	3006.23	657.14
15.50	3687.14	3007.11	680.03
15.60	3710.90	3007.99	702.91
15.70	3734.67	3008.88	725.79
15.80	3758.43	3009.77	748.66
15.90	3782.19	3010.67	771.52
16.00	3805.95	3011.57	794.38
16.10	3829.71	3012.47	817.24
16.20	3853.47	3013.39	840.09
16.30	3877.23	3014.30	862.93
16.40	3900.99	3015.22	885.77
16.50	3924.75	3016.15	908.60
16.60	3948.51	3017.08	931.43
16.70	3972.27	3018.02	954.25
16.80	3996.03	3018.96	977.07
16.90	4019.79	3019.90	999.88
17.00	4043.54	3020.86	1022.69
17.10	4067.30	3021.81	1045.49
17.20	4091.06	3022.77	1068.28
17.30	4114.81	3023.74	1091.07
17.40	4138.57	3024.71	1113.86
17.50	4162.32	3025.68	1136.64
17.60	4186.07	3026.67	1159.41
17.70	4209.83	3027.65	1182.18
17.80	4233.58	3028.64	1204.94
17.90	4257.33	3029.64	1227.70
18.00	4281.08	3030.64	1250.45
18.10	4304.84	3031.64	1273.19
18.20	4328.59	3032.65	1295.93
18.30	4352.34	3033.67	1318.67
18.40	4376.09	3034.69	1341.40
18.50	4399.83	3035.71	1364.12
18.60	4423.58	3036.74	1386.84
18.70	4447.33	3037.78	1409.55
18.80	4471.08	3038.82	1432.26
18.90	4494.82	3039.86	1454.96
19.00	4518.57	3040.91	1477.66
19.10	4542.32	3041.97	1500.35
19.20	4566.06	3043.03	1523.03
19.30	4589.81	3044.09	1545.71
19.40	4613.55	3045.16	1568.39
19.50	4637.29	3046.24	1591.06
19.60	4661.04	3047.32	1613.72
19.70	4684.78	3048.40	1636.38
19.80	4708.52	3049.49	1659.03
19.90	4732.26	3050.58	1681.68
20.00	4756.00	3051.68	1704.32
20.10	4779.74	3052.79	1726.95
20.20	4803.48	3053.90	1749.58
20.30	4827.22	3055.01	1772.21
20.40	4850.96	3056.13	1794.83
20.50	4874.69	3057.25	1817.44
20.60	4898.43	3058.38	1840.05
20.70	4922.17	3059.52	1862.65
20.80	4945.90	3060.65	1885.25
20.90	4969.64	3061.80	1907.84
21.00	4993.37	3062.95	1930.42
21.10	5017.10	3064.10	1953.00
21.20	5040.84	3065.26	1975.58
21.30	5064.57	3066.42	1998.15
21.40	5088.30	3067.59	2020.71
21.50	5112.03	3068.76	2043.27
21.60	5135.76	3069.94	2065.82
21.70	5159.49	3071.13	2088.37
21.80	5183.22	3072.31	2110.91
21.90	5206.95	3073.51	2133.44
22.00	5230.68	3074.70	2155.97
22.10	5254.40	3075.91	2178.50
22.20	5278.13	3077.12	2201.01
22.30	5301.86	3078.33	2223.53
22.40	5325.58	3079.55	2246.03
22.50	5349.30	3080.77	2268.54
22.60	5373.03	3082.00	2291.03
22.70	5396.75	3083.23	2313.52
22.80	5420.47	3084.47	2336.01
22.90	5444.20	3085.71	2358.49
23.00	5467.92	3086.96	2380.96
23.10	5491.64	3088.21	2403.43
23.20	5515.36	3089.47	2425.89
